velocity,ready_to_switch_on,switched_on,operation_enabled,voltage_enabled,acceleration,fault,switch_on_disabled,statusword,position,warning,torque,quick_stop
0,True,True,True,True,0,False,False,1591,0.09936120869031134,False,0,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.081,True
0.0,True,True,True,True,0.0,False,False,1591,0.0993731929152167,False,1.078,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.01,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.073,True
0.0,True,True,True,True,0.0,False,False,1591,0.0993731929152167,False,1.071,True
-0.0005392901207410457,True,True,True,True,-0.053929012074104575,False,False,1591,0.09936120869031134,False,0.999,True
-0.00017976337358034856,True,True,True,True,0.035952674716069714,False,False,1591,0.09936120869031134,False,1.072,True
-1.1984224905356572e-05,True,True,True,True,0.0167779148674992,False,False,1591,0.09936120869031134,False,1.06,True
-0.00017976337358034856,True,True,True,True,-0.0167779148674992,False,False,1591,0.09936120869031134,False,1.057,True
-7.190534943213943e-05,True,True,True,True,0.010785802414820913,False,False,1591,0.09936120869031134,False,1.055,True
0.00026365294791784455,True,True,True,True,0.0335558297349984,False,False,1591,0.09936120869031134,False,1.109,True
0.0,True,True,True,True,-0.026365294791784455,False,False,1591,0.09936120869031134,False,1.053,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.05,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.048,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.045,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.043,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.104,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.038,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.035,True
0.0,True,True,True,True,0.0,False,False,1591,0.09933724024050063,False,1.032,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.096,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.03,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.027,True
0.0,True,True,True,True,0.0,False,False,1591,0.0993731929152167,False,1.088,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,0.959,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.022,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.083,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.083,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.017,True
-0.0006351639199838983,True,True,True,True,-0.06351639199838983,False,False,1591,0.09934922446540598,False,1.078,True
0.0,True,True,True,True,0.06351639199838983,False,False,1591,0.09936120869031134,False,1.078,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.012,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.076,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.01,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.073,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.071,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.007,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.068,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.005,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.065,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.002,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.063,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.063,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,0.997,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,0.997,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,0.997,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.058,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,0.994,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.058,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,1.055,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.055,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,0.992,True
0.0,True,True,True,True,0.0,False,False,1591,0.09936120869031134,False,1.053,True
0.0,True,True,True,True,0.0,False,False,1591,0.09934922446540598,False,0.989,True
